player_id,player_name,level,games_played,at_bats,runs,hits,doubles,triples,home_runs,rbi,walks,strikeouts_batting,stolen_bases,caught_stealing,left_on_base,ground_into_double_play,innings_pitched,hits_allowed,runs_allowed,earned_runs,walks_allowed,strikeouts_pitching,home_runs_allowed,inherited_runners,inherited_runners_scored,batting_average,on_base_percentage,slugging_percentage,era,whip,strike_percentage,ops,primary_position
687859,Troy Johnston,AAA,3,13,3,4,0,1,1,2,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0.3076923076923077,0.3076923076923077,0.6923076923076923,NA,NA,0,1,Batter
687862,Cody Milligan,AA,1,4,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,NA,NA,0,0.5,Batter
687863,Porter Hodge,AAA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,2,3,3,1,4,0,2,2,NA,NA,NA,12.857142857142856,1.4285714285714286,63.970588235294116,NA,Pitcher
687867,Clay Dungan,AA,1,4,1,1,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,1,NA,NA,0,1.25,Batter
687867,Clay Dungan,AAA,4,16,4,5,2,0,0,4,4,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0.3125,0.45,0.4375,NA,NA,0,0.8875,Batter
687879,Luis Quinones,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,2,0,0,1,1,0,0,0,NA,NA,NA,0,1.4285714285714286,58.536585365853654,NA,Pitcher
687905,Taylor Floyd,AA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,1,1,0,0,0,NA,NA,NA,18,4,63.63636363636363,NA,Pitcher
687918,Braylen Wimmer,A,3,11,1,0,0,0,0,0,4,3,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0.26666666666666666,0,NA,NA,0,0.26666666666666666,Batter
687922,Easton Lucas,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,0,NA,NA,NA,0,0.3333333333333333,62.7906976744186,NA,Pitcher
687924,Julian Aguiar,AAA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,1,0,6,0,0,0,NA,NA,NA,1.5,0.8333333333333334,69.51219512195121,NA,Pitcher
